epoch,train_loss,train_acc,train_fscore,eval_loss,eval_acc,eval_fscore,loss_task,loss_ce_t,loss_ce_a,loss_kl_t,loss_kl_a,total_loss
27,24.0283,39.51,34.0,17.2629,45.71,38.74,5.641330718994141,1.4524281024932861,5.633315086364746,6.009164333343506,18.920562744140625,37.65679931640625
28,25.5462,39.46,33.75,16.1962,45.53,38.52,4.431475639343262,1.598481297492981,2.6170387268066406,5.312497615814209,5.299365043640137,19.25885772705078
29,22.4978,40.09,34.36,15.0475,50.83,45.27,6.3914313316345215,1.2854098081588745,5.0873565673828125,5.305881500244141,16.131568908691406,34.2016487121582
30,22.9512,37.95,32.75,15.0469,42.76,36.04,3.939056158065796,1.645719289779663,2.033689498901367,4.665078639984131,4.628608226776123,16.912151336669922
31,21.448,36.9,31.72,14.6019,42.58,37.3,5.4140238761901855,1.3464281558990479,6.21633243560791,4.479547023773193,17.708215713500977,35.164546966552734
32,21.8901,40.67,37.24,13.9553,42.07,37.44,4.815357685089111,1.618924617767334,2.417581081390381,3.871242046356201,6.159546852111816,18.882652282714844
33,21.4923,35.89,31.81,12.7182,44.7,42.46,3.4037835597991943,1.4231655597686768,2.8139894008636475,3.693413019180298,7.022998809814453,18.357349395751953
34,20.9282,36.29,33.18,12.5988,39.59,36.81,3.598156213760376,1.320383071899414,2.2901573181152344,3.185927152633667,6.087028503417969,16.481651306152344
35,20.4598,34.38,32.0,12.6058,39.49,37.17,3.5650877952575684,1.3560138940811157,1.4899628162384033,2.775137186050415,3.127652406692505,12.313854217529297
36,18.3683,34.85,33.2,11.9114,35.39,33.53,2.3946564197540283,1.109745979309082,2.150930881500244,2.633922576904297,6.10341215133667,14.392668724060059
37,19.152,33.61,31.76,11.7029,37.65,36.36,3.1137824058532715,1.2466340065002441,1.667324185371399,2.7130308151245117,3.7304446697235107,12.471216201782227
38,19.0694,33.0,30.99,10.8893,37.56,35.19,2.950685739517212,1.0654486417770386,2.0266380310058594,2.4762067794799805,3.5806922912597656,12.099671363830566
39,16.7647,35.86,33.95,10.192,39.91,37.89,2.8243744373321533,1.03506600856781,1.0110093355178833,2.22725510597229,2.205810308456421,9.303515434265137
40,16.2291,34.99,32.78,10.2207,41.43,38.93,5.821787357330322,0.9990788102149963,4.258464336395264,2.418585777282715,13.740081787109375,27.237998962402344
